Anio,Departamento,Sexo,CasosEstimados_Predichos
2030,Amazonas,Masculino,1
2030,Amazonas,Femenino,-151
2030,Ancash,Masculino,17
2030,Ancash,Femenino,-135
2030,Apurimac,Masculino,-35
2030,Apurimac,Femenino,-187
2030,Arequipa,Masculino,103
2030,Arequipa,Femenino,-49
2030,Ayacucho,Masculino,-45
2030,Ayacucho,Femenino,-197
2030,Cajamarca,Masculino,-42
2030,Cajamarca,Femenino,-194
2030,Callao,Masculino,210
2030,Callao,Femenino,58
2030,Cusco,Masculino,-24
2030,Cusco,Femenino,-177
2030,Huancavelica,Masculino,-68
2030,Huancavelica,Femenino,-220
2030,Huanuco,Masculino,-8
2030,Huanuco,Femenino,-161
2030,Ica,Masculino,94
2030,Ica,Femenino,-58
2030,Junin,Masculino,45
2030,Junin,Femenino,-107
2030,La Libertad,Masculino,130
2030,La Libertad,Femenino,-22
2030,Lambayeque,Masculino,51
2030,Lambayeque,Femenino,-101
2030,Lima,Masculino,1285
2030,Lima,Femenino,1133
2030,Loreto,Masculino,289
2030,Loreto,Femenino,137
2030,Madre de Dios,Masculino,-27
2030,Madre de Dios,Femenino,-179
2030,Moquegua,Masculino,-49
2030,Moquegua,Femenino,-201
2030,Pasco,Masculino,-51
2030,Pasco,Femenino,-203
2030,Piura,Masculino,9
2030,Piura,Femenino,-143
2030,Puno,Masculino,-43
2030,Puno,Femenino,-195
2030,San Martin,Masculino,-14
2030,San Martin,Femenino,-166
2030,Tacna,Masculino,-45
2030,Tacna,Femenino,-197
2030,Tumbes,Masculino,-55
2030,Tumbes,Femenino,-207
2030,Ucayali,Masculino,35
2030,Ucayali,Femenino,-117
